,var,;,id,",",(,),{,},=,inc,dec,if,elif,else,loop,break,return,or,and,==,!=,<,<=,>,>=,+,-,*,/,%,not,[,],lit-bool,lit-int,lit-char,lit-str,$
170,,r27,r27,,,,,r27,,r27,r27,r27,,,r27,r27,r27,,,,,,,,,,,,,,,,,,,,,,
171,,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,r32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,s95,,s99,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s100,,s101,s102,s103,s104,,
174,,,s95,,s99,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s100,,s101,s102,s103,s104,,
175,,,s95,,s99,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s100,,s101,s102,s103,s104,,
176,,,s95,,s99,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s100,,s101,s102,s103,s104,,
177,,,s95,,s99,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s100,,s101,s102,s103,s104,,
178,,,s95,,s99,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s100,,s101,s102,s103,s104,,
179,,,s95,,s99,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s100,,s101,s102,s103,s104,,
180,,,,r69,,r69,,,,,,,,,,,,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,,,,,,,,,
181,,,s95,,s99,r33,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s100,,s101,s102,s103,s104,,
182,,,,,,s225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s226,,,,,,
184,,,,,,,s227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,s117,,s121,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s122,,s123,s124,s125,s126,,
186,,,s117,,s121,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s122,,s123,s124,s125,s126,,
187,,,s117,,s121,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s122,,s123,s124,s125,s126,,
188,,,s117,,s121,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s122,,s123,s124,s125,s126,,
189,,,s117,,s121,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s122,,s123,s124,s125,s126,,
190,,,s117,,s121,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s122,,s123,s124,s125,s126,,
191,,,,,,r69,,,,,,,,,,,,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,,,,,,,,,
192,,,s95,,s99,r33,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s100,,s101,s102,s103,s104,,
193,,,,,,s235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s236,,,,,,
195,,r41,r41,,,,,r41,,r41,r41,r41,,,r41,r41,r41,,,,,,,,,,,,,,,,,,,,,,
196,,r46,,,,,,,,,,,,,,,,r46,s130,,,,,,,,,,,,,,,,,,,,
197,,r48,,,,,,,,,,,,,,,,r48,r48,s132,s133,,,,,,,,,,,,,,,,,,
198,,r50,,,,,,,,,,,,,,,,r50,r50,r50,r50,s135,s136,s137,s138,,,,,,,,,,,,,,
199,,r54,,,,,,,,,,,,,,,,r54,r54,r54,r54,r54,r54,r54,r54,s140,s141,,,,,,,,,,,,
200,,r60,,,,,,,,,,,,,,,,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,s143,s144,s145,,,,,,,,,
201,,r64,,,,,,,,,,,,,,,,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,,,,,,,,,
202,,,,,,s237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,r78,,,,,,,,,,,,,,,,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,,,,,,,,,
